Date, Open , High , Low , Close  , Adj Close  ,Volume
14-Aug-24, $136.37 , $137.40 , $129.33 , $130.37 , $130.37 ,"8,535,900"
13-Aug-24, $132.28 , $140.00 , $130.26 , $135.38 , $135.38 ,"8,123,100"
12-Aug-24, $133.49 , $139.21 , $129.22 , $131.46 , $131.46 ,"6,932,300"
9-Aug-24, $135.89 , $136.69 , $129.55 , $135.37 , $135.37 ,"7,330,400"
8-Aug-24, 10:1 Stock Splits ,,,,,
8-Aug-24, $130.23 , $136.76 , $128.06 , $135.99 , $135.99 ,"10,378,300"
7-Aug-24, $140.88 , $142.16 , $124.01 , $124.68 , $124.68 ,"10,934,000"
6-Aug-24, $132.60 , $139.49 , $126.22 , $136.92 , $136.92 ,"12,260,000"
5-Aug-24, $105.17 , $135.43 , $102.40 , $130.90 , $130.90 ,"22,678,000"
2-Aug-24, $148.58 , $159.14 , $141.71 , $144.80 , $144.80 ,"14,126,000"
1-Aug-24, $161.50 , $163.44 , $148.20 , $151.18 , $151.18 ,"11,930,000"
31-Jul-24, $164.60 , $168.50 , $160.85 , $161.44 , $161.44 ,"7,534,000"
30-Jul-24, $168.80 , $169.50 , $159.25 , $160.41 , $160.41 ,"9,155,000"
29-Jul-24, $182.00 , $183.70 , $167.13 , $168.49 , $168.49 ,"12,802,000"
26-Jul-24, $170.00 , $177.70 , $168.60 , $175.27 , $175.27 ,"14,138,000"
25-Jul-24, $161.65 , $167.79 , $150.77 , $160.65 , $160.65 ,"14,772,000"
24-Jul-24, $175.00 , $176.95 , $166.70 , $167.27 , $167.27 ,"13,774,000"
23-Jul-24, $176.40 , $179.80 , $171.50 , $172.18 , $172.18 ,"10,747,000"
22-Jul-24, $178.40 , $181.07 , $173.61 , $180.01 , $180.01 ,"15,391,000"
19-Jul-24, $157.34 , $178.50 , $156.50 , $177.85 , $177.85 ,"20,458,000"
18-Jul-24, $163.39 , $163.70 , $151.63 , $155.52 , $155.52 ,"10,236,000"
17-Jul-24, $161.10 , $167.41 , $153.00 , $159.00 , $159.00 ,"17,212,000"
16-Jul-24, $161.50 , $167.58 , $157.64 , $166.43 , $166.43 ,"15,810,000"
15-Jul-24, $152.40 , $163.90 , $149.24 , $161.13 , $161.13 ,"24,671,000"
12-Jul-24, $133.92 , $143.54 , $132.42 , $139.68 , $139.68 ,"10,641,000"
11-Jul-24, $139.60 , $143.20 , $132.92 , $135.86 , $135.86 ,"13,513,000"
10-Jul-24, $131.97 , $134.50 , $129.60 , $130.57 , $130.57 ,"6,387,000"
9-Jul-24, $131.39 , $132.00 , $127.81 , $130.18 , $130.18 ,"8,903,000"
8-Jul-24, $131.45 , $132.50 , $125.88 , $129.06 , $129.06 ,"8,736,000"
